timestamp,worker_id,latency_ms,ttft_ms,tokens_generated,status,prompt_tokens
1771318641.4474044,9,189.7903640056029,37.158382998313755,18,200,192
1771318641.544108,6,40.99501401651651,39.741793007124215,2,200,303
1771318641.9314842,7,230.1589580019936,93.6487729777582,20,200,354
1771318641.9372113,17,112.52473399508744,41.310829983558506,9,200,211
1771318641.990428,1,633.2036140374839,60.65008800942451,28,200,303
1771318642.008982,4,181.56874005217105,56.2691010418348,7,200,234
1771318642.1601117,3,1021.8938930192962,51.99089302914217,104,200,258
1771318642.2511702,9,661.1811339971609,89.49141902849078,25,200,326
1771318642.2517848,19,76.87173900194466,73.9993560127914,5,200,104
1771318642.2536044,20,906.1448940192349,36.91880201222375,95,200,348
1771318642.595491,1,103.44105097465217,102.59445197880268,5,200,66
1771318642.5958333,2,127.30687099974602,124.13728900719434,2,200,372
1771318642.7559726,0,1519.0803890000097,81.60641603171825,62,200,193
1771318642.9199421,12,172.87229601060972,56.57574301585555,10,200,68
1771318642.92011,4,242.90144396945834,102.88825299357995,10,200,289
1771318642.92027,16,1140.8064420102164,97.02820400707424,44,200,315
1771318643.0820155,15,1756.5831649699248,65.68694597808644,72,200,285
1771318643.0821967,21,398.94656697288156,116.23524699825794,12,200,60
1771318643.1001797,20,206.8966359947808,58.09963901992887,18,200,237
1771318643.1436455,19,54.19523495947942,43.68271498242393,3,200,348
1771318643.3553176,21,218.89405295951292,127.69944197498262,9,200,39
1771318643.6772985,0,147.4336230312474,89.36923602595925,8,200,249
1771318643.749921,1,222.0186199992895,105.1621200167574,8,200,91
1771318643.9126954,19,94.66539794811979,93.76270096981898,2,200,96
1771318644.0939128,23,542.9059320013039,74.64957400225103,46,200,252
1771318644.0956492,15,112.79965203721076,108.23982500005513,9,200,225
1771318644.2526243,16,271.15771401440725,108.32564800512046,24,200,48
1771318644.3166385,18,1281.2525030458346,77.6042360230349,127,200,147
1771318644.3501136,10,142.70867704181,97.29803301161155,4,200,348
1771318644.4153275,21,123.08588204905391,51.443022035527974,4,200,328
1771318644.4551916,14,754.1687090415508,77.85678200889379,72,200,218
1771318644.480299,15,131.74336700467393,129.69187600538135,2,200,341
1771318644.660755,11,689.7508269757964,123.03275801241398,69,200,279
1771318644.754419,3,465.92849801527336,126.05410401010886,17,200,37
1771318644.7550075,17,301.36611103080213,119.52017399016768,12,200,96
1771318644.8278706,9,417.36357897752896,38.58080197824165,43,200,129
1771318644.9165852,19,460.94170899596065,33.22828095406294,47,200,231
1771318645.0774915,5,453.49726401036605,36.90826799720526,43,200,197
1771318645.078228,20,130.7323480141349,34.770243044476956,9,200,50
1771318645.2904806,1,1296.072490978986,146.02048497181386,50,200,372
