timestamp,worker_id,latency_ms,ttft_ms,tokens_generated,status,prompt_tokens
1771319081.3164628,12,113.15822100732476,60.786816000472754,8,200,123
1771319081.40787,11,179.7500330139883,37.31418802635744,18,200,278
1771319081.717824,9,265.86330600548536,51.667987019754946,24,200,41
1771319081.8590665,13,278.37348100729287,277.25547197042033,2,200,309
1771319081.8735092,22,455.05184901412576,163.5652519762516,6,200,331
1771319081.8857565,16,813.3253320120275,42.58355300407857,78,200,72
1771319081.9606206,8,614.787143014837,163.8084959704429,8,200,366
1771319082.1209779,0,851.2585260323249,101.23157198540866,13,200,297
1771319082.122537,10,548.4799080295488,92.59647101862356,49,200,341
1771319082.1770494,21,779.6422329847701,36.68691398343071,73,200,257
1771319082.1939385,20,1015.6914400286041,111.30563000915572,17,200,264
1771319082.2834105,1,467.21274399897084,75.67427400499582,39,200,129
1771319082.3666134,4,1005.9141829842702,47.277342004235834,94,200,277
1771319082.36732,8,172.42922901641577,86.7266510031186,15,200,263
1771319082.37076,2,840.5300440499559,132.0955220144242,76,200,347
1771319082.4653037,12,1047.6543399854563,36.89987096004188,92,200,365
1771319082.4658594,5,1107.0229800534435,50.972521014045924,104,200,324
1771319082.5125093,16,109.44424802437425,99.2190630058758,3,200,153
1771319082.5374324,3,957.3773909942247,269.5506210438907,11,200,50
1771319082.6278915,19,1402.0286049926654,144.92749801138416,20,200,354
1771319082.6282325,18,215.0180779863149,125.17083500279114,9,200,342
1771319082.6285558,2,239.8976309923455,114.08064403804019,8,200,276
1771319082.6288862,8,195.17712900415063,65.58062095427886,14,200,37
1771319082.6702595,23,638.0657689878717,107.74697898887098,53,200,224
1771319082.699724,9,195.51685301121324,35.38415703224018,17,200,111
1771319082.7878196,10,247.81626998446882,107.06092801410705,12,200,272
1771319082.7882178,12,216.9813749496825,85.59145295294002,16,200,49
1771319082.790609,15,1101.9445569836535,34.33719900203869,106,200,229
1771319082.8407252,1,69.43891599075869,48.284794960636646,4,200,324
1771319082.9580736,0,714.33850802714,220.84791999077424,10,200,151
1771319082.995317,10,174.3369559990242,39.58449000492692,16,200,372
1771319083.1322615,17,791.7440690216608,145.1931670308113,59,200,207
1771319083.1326032,9,339.4818429951556,68.9288189751096,21,200,115
1771319083.1454904,3,219.5982369594276,83.2485169521533,16,200,83
1771319083.1952293,16,300.4950350150466,83.53060798253864,24,200,320
1771319083.2947094,5,274.3699040147476,110.38943799212575,22,200,299
1771319083.3295565,6,1794.9871040182188,155.41667101206258,30,200,180
1771319083.456868,21,815.7937049982138,60.94820401631296,79,200,249
1771319083.4573176,17,148.4137119841762,35.20032798405737,9,200,150
1771319083.4743385,15,372.15073604602367,61.90912303281948,33,200,59
1771319083.7015877,0,42.23065101541579,41.243990999646485,2,200,285
1771319083.8017566,22,739.7474439931102,102.18702704878524,60,200,92
1771319083.8021383,23,780.19153396599,132.88108597043902,67,200,312
1771319083.8030553,11,1891.6681550326757,268.57767201727256,31,200,66
1771319083.8034468,20,120.98153500119224,117.96404398046434,8,200,324
1771319083.8051019,21,243.80188900977373,88.13936699880287,17,200,141
1771319083.8105447,13,1901.076297974214,242.83075000857934,34,200,219
1771319083.8807027,1,109.42845296813175,108.2981459912844,2,200,251
1771319083.961217,18,335.66749101737514,31.338056025560945,31,200,81
1771319084.003408,20,96.7265409999527,87.4609500169754,3,200,228
1771319084.4938169,16,953.821768052876,101.12659999867901,86,200,147
1771319084.5381236,2,691.680378979072,113.8147939927876,16,200,40
1771319084.6301694,20,428.39156003901735,80.34471503924578,34,200,63
1771319084.7107303,7,3169.626741029788,127.15112802106887,59,200,98
1771319084.7931345,4,1246.093640977051,92.61609701206908,114,200,354
1771319084.793599,19,1312.9366060020402,38.676319003570825,129,200,288
1771319084.7940662,14,3259.0310709783807,168.803084990941,57,200,291
1771319084.8188102,1,205.36815596278757,178.47293498925865,3,200,132
1771319084.9543426,10,1205.396659031976,88.5062450543046,114,200,283
1771319084.9554756,0,786.8640089873224,32.803718000650406,76,200,87
