timestamp,worker_id,latency_ms,ttft_ms,tokens_generated,status,prompt_tokens
1771318777.0419953,8,266.4676579879597,81.92898600827903,22,200,150
1771318777.1131904,15,160.75131902471185,44.14100298890844,12,200,124
1771318777.2071443,4,155.81741998903453,84.23611195757985,10,200,258
1771318777.2750435,23,77.43471203139052,67.85660900641233,3,200,198
1771318777.3294282,5,485.55698699783534,153.78121501998976,10,200,326
1771318777.4382968,17,263.0841420032084,90.45807196525857,12,200,141
1771318777.5159254,22,155.64640099182725,108.13015198800713,6,200,176
1771318777.6007,12,341.16397297475487,57.7605830039829,28,200,193
1771318777.7610672,4,148.65136396838352,57.18055396573618,7,200,235
1771318778.1047509,13,105.17050902126357,103.88381098164245,2,200,333
1771318778.1062143,6,1053.395053022541,97.503216995392,23,200,114
1771318778.1646066,16,363.36630600271747,138.79455300047994,26,200,168
1771318778.1658106,9,195.1555199921131,151.84103598585352,6,200,291
1771318778.4617398,16,262.82473595347255,94.77534296456724,19,200,354
1771318778.48631,5,312.61999800335616,111.39283998636529,24,200,141
1771318778.5886395,17,80.72579797590151,79.02879297034815,3,200,81
1771318778.7503133,2,1349.8784009716474,198.20165395503864,29,200,339
1771318778.8051527,0,1495.34240498906,192.88119301199913,33,200,215
1771318778.9334471,4,477.7273560175672,130.65277499845251,38,200,264
1771318778.9682806,14,215.94029699917883,36.13642801064998,20,200,183
1771318779.129237,8,500.82075101090595,34.16606702376157,51,200,100
1771318779.2541337,8,93.4005849994719,91.84609400108457,6,200,272
1771318779.2549396,14,235.13416800415143,144.81338602490723,4,200,229
1771318779.2594664,10,508.54110601358116,71.25926204025745,48,200,241
1771318779.4156122,18,268.6709320405498,162.48920804355294,4,200,167
1771318779.761889,5,425.8562020258978,101.80618398590013,35,200,261
1771318779.7801893,4,183.29235003329813,40.97182699479163,15,200,207
1771318779.7848918,21,725.7016900111921,83.37703603319824,68,200,171
1771318779.9222717,15,600.6234710221179,170.03668000688776,11,200,363
1771318780.0846622,20,963.793731003534,33.37555896723643,96,200,174
1771318780.0862615,0,539.5703069516458,139.30989097571,42,200,362
1771318780.0910268,7,304.1051640175283,35.919943009503186,29,200,264
1771318780.2669182,1,655.2449819864705,148.98846100550145,12,200,262
1771318780.2671874,3,903.321003948804,85.62826295383275,77,200,210
1771318780.2684877,2,243.78451303346083,120.73050701292232,7,200,154
1771318780.309774,8,297.5354240043089,92.51341200433671,23,200,235
1771318780.5869799,4,86.51599602308124,85.22628800710663,6,200,364
1771318780.5884063,14,1087.7284000162035,118.89597401022911,96,200,61
1771318780.588691,1,220.8966329926625,86.84779901523143,12,200,157
1771318780.588967,5,407.609346031677,134.06735501484945,28,200,232
1771318780.589257,10,359.2869080021046,68.3079439913854,28,200,210
